Model,Dataset,Feature Selection,RMSE,MAE,R2,# Features,Training Time
ga_xgb,Diamonds,GA,361.09412727154677,208.98158264160156,0.9826046824455261,6,0.22742056846618652
baseline_rf,Diamonds,None,366.3665215141946,203.35448709970552,0.9820929715896317,9,4.207120418548584
baseline_xgb,Gemstone,None,363.3565956811573,208.97508239746094,0.9817671179771423,9,0.21924042701721191
ga_rf,Diamonds,GA,377.0215086430901,211.36198862978867,0.9810362503081895,6,6.951059103012085
pso_xgb,Gemstone,PSO,378.61121632223205,219.614990234375,0.9802040457725525,4,0.2826108932495117
pso_rf,Gemstone,PSO,410.8527705226623,236.20495578281538,0.9766889404805074,4,0.3818831443786621
